PART_ID,Trial,Proc_version,Exp,Key,Corr,SOA,Reversal,Level,Rev_count,Lat
greg_MALE_20,1,cmp_freq,train,left,1,50,-,-,-,1.3555970191955566
greg_MALE_20,1,cmp_freq,train,right,1,50,-,-,-,1.1717939376831055
greg_MALE_20,1,cmp_freq,train,right,1,50,-,-,-,1.0559418201446533
greg_MALE_20,2,cmp_freq,train,right,1,20,-,-,-,2.322938919067383
greg_MALE_20,2,cmp_freq,train,right,1,20,-,-,-,1.3717560768127441
greg_MALE_20,3,cmp_freq,train,right,1,10,-,-,-,1.3980820178985596
greg_MALE_20,3,cmp_freq,train,right,1,10,-,-,-,1.0864830017089844
greg_MALE_20,3,cmp_freq,exp,left,1,8,0,0,0,1.7462990283966064
greg_MALE_20,4,cmp_freq,exp,left,1,8,0,0,-,1.267024040222168
greg_MALE_20,5,cmp_freq,exp,right,1,8,0,1,-,1.1143839359283447
greg_MALE_20,6,cmp_freq,exp,right,1,7,0,1,-,2.3179101943969727
greg_MALE_20,7,cmp_freq,exp,left,1,7,0,1,-,1.1566190719604492
greg_MALE_20,8,cmp_freq,exp,right,1,7,0,1,-,2.0356180667877197
greg_MALE_20,9,cmp_freq,exp,right,1,6,0,1,-,1.1847147941589355
greg_MALE_20,10,cmp_freq,exp,left,1,6,0,1,-,2.1012721061706543
greg_MALE_20,11,cmp_freq,exp,right,1,6,0,1,-,2.5997400283813477
greg_MALE_20,12,cmp_freq,exp,right,1,5,0,1,-,1.125162124633789
greg_MALE_20,13,cmp_freq,exp,right,1,5,0,1,-,0.8810501098632812
greg_MALE_20,14,cmp_freq,exp,right,1,5,0,1,-,1.498150110244751
greg_MALE_20,15,cmp_freq,exp,left,1,4,0,1,-,2.0365121364593506
greg_MALE_20,16,cmp_freq,exp,right,1,4,0,1,-,1.1768569946289062
greg_MALE_20,17,cmp_freq,exp,left,1,4,0,1,-,1.425797939300537
greg_MALE_20,18,cmp_freq,exp,right,1,3,0,1,-,1.2932229042053223
greg_MALE_20,19,cmp_freq,exp,left,1,3,0,1,-,1.1214239597320557
greg_MALE_20,20,cmp_freq,exp,left,1,3,0,1,-,1.7931239604949951
greg_MALE_20,21,cmp_freq,exp,right,1,2,0,1,-,1.880699872970581
greg_MALE_20,22,cmp_freq,exp,left,1,2,0,1,-,3.1713340282440186
greg_MALE_20,23,cmp_freq,exp,left,1,2,0,1,-,1.958711862564087
greg_MALE_20,24,cmp_freq,exp,left,1,1,0,1,-,1.8654029369354248
greg_MALE_20,25,cmp_freq,exp,left,1,1,0,1,-,1.4706850051879883
greg_MALE_20,26,cmp_freq,exp,left,1,1,0,1,-,1.6566948890686035
greg_MALE_20,27,cmp_freq,exp,left,0,0,1,-1,1,1.4446380138397217
greg_MALE_20,28,cmp_freq,exp,left,1,1,0,-1,-,0.8249170780181885
greg_MALE_20,29,cmp_freq,exp,right,0,1,0,-1,-,1.314988136291504
greg_MALE_20,30,cmp_freq,exp,left,1,2,0,-1,-,0.6304659843444824
greg_MALE_20,31,cmp_freq,exp,left,1,2,0,-1,-,1.383249044418335
greg_MALE_20,32,cmp_freq,exp,right,1,2,1,1,2,1.270594835281372
