trigger_no,trigger_type,corr,key
1,stim_1_start,False,noans
2,stim_1_end,False,noans
3,stim_2_start,False,noans
4,stim_2_end,False,noans
# 0:00:00.000009  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.004
# 0:00:00.000020  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000023  | info     | Dummy mode: True
# 0:00:00.000026  | info     | Trigger time: 0.004
# 0:00:00.000029  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000033  | info     | Trigger limit set to: 60
# 0:00:02.555515  | info     | Connected to EEG (in connect_to_eeg())
# 0:00:08.108480  | info     | Value: 1 sent to EEG.
# 0:00:08.108498  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:08.112694  | info     | Clear message sent to EEG.
# 0:00:08.609479  | info     | Value: 2 sent to EEG.
# 0:00:08.609492  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:08.613587  | info     | Clear message sent to EEG.
# 0:00:09.224808  | info     | Value: 3 sent to EEG.
# 0:00:09.224823  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:00:09.229142  | info     | Clear message sent to EEG.
# 0:00:10.014564  | info     | Value: 4 sent to EEG.
# 0:00:10.014572  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:10.018854  | info     | Clear message sent to EEG.
