trigger_no,trigger_type,corr,key
1,stim_1_start,False,right
2,stim_1_end,False,right
3,stim_2_start,False,right
4,stim_2_end,False,right
5,answered,False,right
6,stim_1_start,UNKNOWN,UNKNOWN
7,stim_1_end,False,noans
8,stim_2_start,False,noans
9,answered,False,noans
10,stim_2_end,False,noans
11,stim_1_start,False,left
12,stim_1_end,False,left
13,stim_2_start,False,left
14,stim_2_end,False,left
15,answered,False,left
16,stim_1_start,True,left
17,stim_1_end,True,left
18,stim_2_start,True,left
19,stim_2_end,True,left
20,answered,True,left
21,stim_1_start,UNKNOWN,UNKNOWN
22,stim_1_end,False,noans
23,stim_2_start,False,noans
24,answered,False,noans
25,stim_2_end,False,noans
26,stim_1_start,False,left
27,stim_1_end,False,left
28,stim_2_start,False,left
29,stim_2_end,False,left
30,answered,False,left
31,stim_1_start,UNKNOWN,UNKNOWN
32,stim_1_end,False,noans
33,stim_2_start,False,noans
34,answered,False,noans
35,stim_2_end,False,noans
36,stim_1_start,UNKNOWN,UNKNOWN
37,stim_1_end,False,noans
38,stim_2_start,False,noans
39,answered,False,noans
40,stim_2_end,False,noans
41,stim_1_start,True,left
42,stim_1_end,True,left
43,stim_2_start,True,left
44,stim_2_end,True,left
45,answered,True,left
46,stim_1_start,True,left
47,stim_1_end,True,left
48,stim_2_start,True,left
49,stim_2_end,True,left
50,answered,True,left
51,stim_1_start,UNKNOWN,UNKNOWN
52,stim_1_end,UNKNOWN,UNKNOWN
53,stim_2_start,UNKNOWN,UNKNOWN
54,stim_2_end,UNKNOWN,UNKNOWN
# 0:00:00.000016  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00.000040  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000046  | info     | Dummy mode: True
# 0:00:00.000053  | info     | Trigger time: 0.04
# 0:00:00.000060  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000068  | info     | Trigger limit set to: 60
# 0:00:07.158793  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:07.659612  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:08.003065  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:08.500679  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:08.587016  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:10.754965  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:11.255665  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:11.598570  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:12.026907  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:12.068885  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:14.235820  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:14.736572  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:15.079348  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:15.577347  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:15.659094  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:17.829056  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:18.329821  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:18.673115  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:19.170720  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:19.338990  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:21.504190  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:22.004954  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:22.347960  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:22.388721  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:22.430418  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:24.598642  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:25.098948  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:25.442563  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:25.940611  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:26.074946  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:30.640469  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:31.141215  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:31.485632  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:31.675060  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:31.717972  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:32.887309  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:33.388081  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:33.733326  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:33.851241  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:33.896072  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:35.069578  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:35.570339  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:35.914956  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:36.411239  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:37.115236  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:38.287367  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:38.788139  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:39.137286  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:39.632826  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:39.787076  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:40.959292  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:41.459803  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:41.806726  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:42.302359  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
