trigger_no,trigger_type,corr,key
1,stim_1_start,True,right
2,stim_1_end,True,right
3,stim_2_start,True,right
4,stim_2_end,True,right
5,answered,True,right
6,stim_1_start,True,left
7,stim_1_end,True,left
8,stim_2_start,True,left
9,stim_2_end,True,left
10,answered,True,left
11,stim_1_start,True,right
12,stim_1_end,True,right
13,stim_2_start,True,right
14,stim_2_end,True,right
15,answered,True,right
16,stim_1_start,True,left
17,stim_1_end,True,left
18,stim_2_start,True,left
19,stim_2_end,True,left
20,answered,True,left
21,stim_1_start,True,left
22,stim_1_end,True,left
23,stim_2_start,True,left
24,stim_2_end,True,left
25,answered,True,left
26,stim_1_start,True,right
27,stim_1_end,True,right
28,stim_2_start,True,right
29,stim_2_end,True,right
30,answered,True,right
31,stim_1_start,True,left
32,stim_1_end,True,left
33,stim_2_start,True,left
34,stim_2_end,True,left
35,answered,True,left
36,stim_1_start,False,right
37,stim_1_end,False,right
38,stim_2_start,False,right
39,stim_2_end,False,right
40,answered,False,right
41,stim_1_start,False,noans
42,stim_1_end,False,noans
43,stim_2_start,False,noans
44,stim_2_end,False,noans
45,stim_1_start,True,right
46,stim_1_end,True,right
47,stim_2_start,True,right
48,stim_2_end,True,right
49,answered,True,right
50,stim_1_start,True,left
51,stim_1_end,True,left
52,stim_2_start,True,left
53,stim_2_end,True,left
54,answered,True,left
55,stim_1_start,True,right
56,stim_1_end,True,right
57,stim_2_start,True,right
58,stim_2_end,True,right
59,answered,True,right
60,stim_1_start,True,right
1,stim_1_end,True,right
2,stim_2_start,True,right
3,stim_2_end,True,right
4,answered,True,right
5,stim_1_start,True,left
6,stim_1_end,True,left
7,stim_2_start,True,left
8,stim_2_end,True,left
9,answered,True,left
10,stim_1_start,True,left
11,stim_1_end,True,left
12,stim_2_start,True,left
13,stim_2_end,True,left
14,answered,True,left
15,stim_1_start,True,left
16,stim_1_end,True,left
17,stim_2_start,True,left
18,stim_2_end,True,left
19,answered,True,left
20,stim_1_start,True,left
21,stim_1_end,True,left
22,stim_2_start,True,left
23,stim_2_end,True,left
24,answered,True,left
25,stim_1_start,True,left
26,stim_1_end,True,left
27,stim_2_start,True,left
28,stim_2_end,True,left
29,answered,True,left
30,stim_1_start,True,left
31,stim_1_end,True,left
32,stim_2_start,True,left
33,stim_2_end,True,left
34,answered,True,left
35,stim_1_start,True,left
36,stim_1_end,True,left
37,stim_2_start,True,left
38,stim_2_end,True,left
39,answered,True,left
40,stim_1_start,True,right
41,stim_1_end,True,right
42,stim_2_start,True,right
43,stim_2_end,True,right
44,answered,True,right
45,stim_1_start,True,right
46,stim_1_end,True,right
47,stim_2_start,True,right
48,stim_2_end,True,right
49,answered,True,right
50,stim_1_start,True,right
51,stim_1_end,True,right
52,stim_2_start,True,right
53,stim_2_end,True,right
54,answered,True,right
55,stim_1_start,True,left
56,stim_1_end,True,left
57,stim_2_start,True,left
58,stim_2_end,True,left
59,answered,True,left
60,stim_1_start,False,left
1,stim_1_end,False,left
2,stim_2_start,False,left
3,stim_2_end,False,left
4,answered,False,left
5,stim_1_start,False,left
6,stim_1_end,False,left
7,stim_2_start,False,left
8,stim_2_end,False,left
9,answered,False,left
10,stim_1_start,False,left
11,stim_1_end,False,left
12,stim_2_start,False,left
13,stim_2_end,False,left
14,answered,False,left
15,stim_1_start,False,right
16,stim_1_end,False,right
17,stim_2_start,False,right
18,stim_2_end,False,right
19,answered,False,right
20,stim_1_start,False,right
21,stim_1_end,False,right
22,stim_2_start,False,right
23,stim_2_end,False,right
24,answered,False,right
# 0:00:00.000011  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.004
# 0:00:00.000023  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000025  | info     | Dummy mode: True
# 0:00:00.000029  | info     | Trigger time: 0.004
# 0:00:00.000032  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000036  | info     | Trigger limit set to: 60
# 0:00:06.533141  | info     | Connected to EEG (in connect_to_eeg())
# 0:00:59.489418  | info     | Value: 1 sent to EEG.
# 0:00:59.489442  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:59.493551  | info     | Clear message sent to EEG.
# 0:00:59.995269  | info     | Value: 2 sent to EEG.
# 0:00:59.995332  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:59.999522  | info     | Clear message sent to EEG.
# 0:01:00.616129  | info     | Value: 3 sent to EEG.
# 0:01:00.616198  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:01:00.620409  | info     | Clear message sent to EEG.
# 0:01:01.100532  | info     | Value: 4 sent to EEG.
# 0:01:01.100551  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:01.104823  | info     | Clear message sent to EEG.
# 0:01:03.112775  | info     | Value: 5 sent to EEG.
# 0:01:03.112805  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:03.117116  | info     | Clear message sent to EEG.
# 0:01:06.734469  | info     | Value: 6 sent to EEG.
# 0:01:06.734484  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:06.738569  | info     | Clear message sent to EEG.
# 0:01:07.240054  | info     | Value: 7 sent to EEG.
# 0:01:07.240125  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:07.244273  | info     | Clear message sent to EEG.
# 0:01:07.856399  | info     | Value: 8 sent to EEG.
# 0:01:07.856424  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:01:07.860538  | info     | Clear message sent to EEG.
# 0:01:08.345322  | info     | Value: 9 sent to EEG.
# 0:01:08.345336  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:08.349424  | info     | Clear message sent to EEG.
# 0:01:08.633646  | info     | Value: 10 sent to EEG.
# 0:01:08.633660  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:08.637841  | info     | Clear message sent to EEG.
# 0:01:12.364174  | info     | Value: 11 sent to EEG.
# 0:01:12.364203  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:12.368317  | info     | Clear message sent to EEG.
# 0:01:12.869925  | info     | Value: 12 sent to EEG.
# 0:01:12.869976  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:12.874162  | info     | Clear message sent to EEG.
# 0:01:13.488339  | info     | Value: 13 sent to EEG.
# 0:01:13.488358  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:01:13.492490  | info     | Clear message sent to EEG.
# 0:01:13.975134  | info     | Value: 14 sent to EEG.
# 0:01:13.975151  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:13.979266  | info     | Clear message sent to EEG.
# 0:01:14.642022  | info     | Value: 15 sent to EEG.
# 0:01:14.642036  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:14.646241  | info     | Clear message sent to EEG.
# 0:01:18.338294  | info     | Value: 16 sent to EEG.
# 0:01:18.338310  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:18.342502  | info     | Clear message sent to EEG.
# 0:01:18.844206  | info     | Value: 17 sent to EEG.
# 0:01:18.844263  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:18.848426  | info     | Clear message sent to EEG.
# 0:01:19.463174  | info     | Value: 18 sent to EEG.
# 0:01:19.463226  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:01:19.467380  | info     | Clear message sent to EEG.
# 0:01:19.949495  | info     | Value: 19 sent to EEG.
# 0:01:19.949510  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:19.953628  | info     | Clear message sent to EEG.
# 0:01:20.900076  | info     | Value: 20 sent to EEG.
# 0:01:20.900098  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:20.904242  | info     | Clear message sent to EEG.
# 0:01:24.789811  | info     | Value: 21 sent to EEG.
# 0:01:24.789834  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:24.793956  | info     | Clear message sent to EEG.
# 0:01:25.295400  | info     | Value: 22 sent to EEG.
# 0:01:25.295453  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:25.299604  | info     | Clear message sent to EEG.
# 0:01:25.919412  | info     | Value: 23 sent to EEG.
# 0:01:25.919462  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:01:25.923659  | info     | Clear message sent to EEG.
# 0:01:26.400616  | info     | Value: 24 sent to EEG.
# 0:01:26.400632  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:26.404763  | info     | Clear message sent to EEG.
# 0:01:27.637334  | info     | Value: 25 sent to EEG.
# 0:01:27.637346  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:27.641446  | info     | Clear message sent to EEG.
# 0:01:31.174456  | info     | Value: 26 sent to EEG.
# 0:01:31.174477  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:01:31.178670  | info     | Clear message sent to EEG.
# 0:01:31.680464  | info     | Value: 27 sent to EEG.
# 0:01:31.680518  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:01:31.684724  | info     | Clear message sent to EEG.
# 0:01:32.303504  | info     | Value: 28 sent to EEG.
# 0:01:32.303568  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=True
# 0:01:32.307725  | info     | Clear message sent to EEG.
# 0:01:32.785686  | info     | Value: 29 sent to EEG.
# 0:01:32.785700  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:01:32.789885  | info     | Clear message sent to EEG.
# 0:01:33.748018  | info     | Value: 30 sent to EEG.
# 0:01:33.748039  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:01:33.752232  | info     | Clear message sent to EEG.
# 0:01:37.400330  | info     | Value: 31 sent to EEG.
# 0:01:37.400348  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
