trigger_no,trigger_type,corr,key
1,stim_1_start,False,left
2,stim_1_end,False,left
3,stim_2_start,False,left
4,stim_2_end,False,left
5,answered,False,left
6,stim_1_start,False,right
7,stim_1_end,False,right
8,stim_2_start,False,right
9,answered,False,right
10,stim_2_end,False,right
11,stim_1_start,False,left
12,stim_1_end,False,left
13,stim_2_start,False,left
14,stim_2_end,False,left
15,answered,False,left
16,stim_1_start,False,right
17,stim_1_end,False,right
18,stim_2_start,False,right
19,stim_2_end,False,right
20,answered,False,right
21,stim_1_start,False,right
22,stim_1_end,False,right
23,stim_2_start,False,right
24,stim_2_end,False,right
25,answered,False,right
26,stim_1_start,False,right
27,stim_1_end,False,right
28,stim_2_start,False,right
29,stim_2_end,False,right
30,answered,False,right
31,stim_1_start,False,noans
32,stim_1_end,False,noans
33,stim_2_start,False,noans
34,stim_2_end,False,noans
35,stim_1_start,True,right
36,stim_1_end,True,right
37,stim_2_start,True,right
38,stim_2_end,True,right
39,answered,True,right
# 0:00:00.000015  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00.000036  | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00.000042  | info     | Dummy mode: True
# 0:00:00.000049  | info     | Trigger time: 0.04
# 0:00:00.000056  | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00.000064  | info     | Trigger limit set to: 60
# 0:00:04.569670  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:05.070471  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:05.413675  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:05.911679  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:06.036057  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:08.199683  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:08.700436  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:09.043555  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:09.492083  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:09.533826  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:11.696909  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:12.197717  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:12.540672  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:13.038530  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:13.492033  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:15.654759  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:16.155446  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:16.498433  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:16.996224  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:17.316089  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:19.479148  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:19.979713  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:20.322299  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:20.820578  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:21.220048  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:23.382729  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:23.883521  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:24.226813  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:24.724425  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:25.524029  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:27.686716  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:28.187470  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:28.530589  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:29.028399  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:35.192050  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:35.692846  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:36.039247  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:36.535264  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:36.740100  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
