PART_ID,Trial,Proc_version,Exp,Key,Corr,SOA,Reversal,Level,Rev_count,Lat,Standard_first,Standard_higher
FILIP_MALE_25,45,cmp_dur,exp,right,1,60,0,-1,-,1.300969123840332,True,False
FILIP_MALE_25,46,cmp_dur,exp,left,0,60,0,-1,-,2.1477229595184326,True,False
FILIP_MALE_25,47,cmp_dur,exp,left,1,90,0,-1,-,0.9777908325195312,True,True
FILIP_MALE_25,48,cmp_dur,exp,right,1,90,0,-1,-,2.5398108959198,True,False
FILIP_MALE_25,49,cmp_dur,exp,right,1,90,1,1,12,1.4535808563232422,True,False
FILIP_MALE_25,50,cmp_dur,exp,left,1,60,0,1,-,1.1665260791778564,True,True
FILIP_MALE_25,51,cmp_dur,exp,right,1,60,0,1,-,2.5347349643707275,True,False
FILIP_MALE_25,52,cmp_dur,exp,right,1,60,0,1,-,1.200916051864624,True,False
FILIP_MALE_25,53,cmp_dur,exp,left,1,30,0,1,-,1.0907189846038818,True,True
FILIP_MALE_25,54,cmp_dur,exp,right,1,30,0,1,-,1.481652021408081,True,False
FILIP_MALE_25,55,cmp_dur,exp,left,1,30,0,1,-,2.7536449432373047,True,True
FILIP_MALE_25,56,cmp_dur,exp,right,1,0,0,1,-,3.107403039932251,True,False
FILIP_MALE_25,57,cmp_dur,exp,right,1,0,0,1,-,1.2186310291290283,True,False
FILIP_MALE_25,58,cmp_dur,exp,left,0,0,1,-1,13,1.6172618865966797,True,False
FILIP_MALE_25,59,cmp_dur,exp,right,1,30,0,-1,-,1.1443989276885986,True,False
FILIP_MALE_25,60,cmp_dur,exp,left,1,30,0,-1,-,2.8663508892059326,True,True
FILIP_MALE_25,61,cmp_dur,exp,right,1,30,1,1,14,0.7393240928649902,True,False
FILIP_MALE_25,62,cmp_dur,exp,right,1,0,0,1,-,1.115647792816162,True,False
FILIP_MALE_25,63,cmp_dur,exp,left,0,0,1,-1,15,3.0154809951782227,True,False
FILIP_MALE_25,64,cmp_dur,exp,left,1,30,0,-1,-,1.058340072631836,True,True
FILIP_MALE_25,65,cmp_dur,exp,left,0,30,0,-1,-,3.529918909072876,True,False
FILIP_MALE_25,66,cmp_dur,exp,right,1,60,0,-1,-,0.8870129585266113,True,False
FILIP_MALE_25,67,cmp_dur,exp,left,0,60,0,-1,-,3.9993228912353516,True,False
FILIP_MALE_25,68,cmp_dur,exp,right,1,90,0,-1,-,0.9472000598907471,True,False
FILIP_MALE_25,69,cmp_dur,exp,left,1,90,0,-1,-,1.332050085067749,True,True
FILIP_MALE_25,70,cmp_dur,exp,left,1,90,1,1,16,1.2421400547027588,True,True
FILIP_MALE_25,71,cmp_dur,exp,right,1,60,0,1,-,1.557861089706421,True,False
